ref, y_hat, u
26.000000, 25.705440, 7.556319
26.000000, 25.687400, 7.527305
26.000000, 25.671524, 7.501439
26.000000, 25.650451, 7.467644
26.000000, 25.631906, 7.437526
26.000000, 25.615587, 7.410644
26.000000, 25.600831, 7.386016
26.000000, 25.583900, 7.358018
26.000000, 25.569000, 7.332975
26.000000, 25.551548, 7.303994
26.000000, 25.531059, 7.270330
26.000000, 25.513030, 7.240242
26.000000, 25.502294, 7.221028
26.000000, 25.484953, 7.191798
26.000000, 25.468905, 7.164406
26.000000, 25.454782, 7.139814
26.000000, 25.442354, 7.117687
26.000000, 25.431417, 7.097729
26.000000, 25.419031, 7.075517
26.000000, 25.404184, 7.049524
26.000000, 25.391119, 7.026121
26.000000, 25.379622, 7.004998
26.000000, 25.368716, 6.984692
26.000000, 25.359118, 6.966290
26.000000, 25.347515, 6.944807
26.000000, 25.337304, 6.925349
26.000000, 25.327924, 6.907079
26.000000, 25.319669, 6.890445
26.000000, 25.312405, 6.875251
26.000000, 25.310354, 6.867864
26.000000, 25.304208, 6.854296
26.000000, 25.289328, 6.827535
26.000000, 25.284127, 6.815259
26.000000, 25.279549, 6.803890
26.000000, 25.275521, 6.793320
26.000000, 25.271976, 6.783453
26.000000, 25.270436, 6.776582
26.000000, 25.269080, 6.769979
26.000000, 25.263546, 6.757075
26.000000, 25.257492, 6.743354
26.000000, 25.252164, 6.730689
26.000000, 25.247476, 6.718953
26.000000, 25.252822, 6.722302
26.000000, 25.257526, 6.724717
26.000000, 25.262454, 6.727501
26.000000, 25.270343, 6.734774
26.000000, 25.273734, 6.735320
26.000000, 25.265274, 6.718038
26.000000, 25.257829, 6.702232
26.000000, 25.251277, 6.687725
26.000000, 25.245511, 6.674361
26.000000, 25.236491, 6.656059
26.000000, 25.237630, 6.653003
26.000000, 25.243368, 6.656880
26.000000, 25.247233, 6.657973
26.000000, 25.247083, 6.653042
26.000000, 25.250503, 6.653487
26.000000, 25.254696, 6.655119
26.000000, 25.257202, 6.654235
26.000000, 25.260591, 6.654698
26.000000, 25.267125, 6.659918
26.000000, 25.274848, 6.666971
26.000000, 25.281644, 6.672675
26.000000, 25.287625, 6.677194
26.000000, 25.292888, 6.680669
26.000000, 25.297520, 6.683226
26.000000, 25.300017, 6.682597
26.000000, 25.302214, 6.681532
26.000000, 25.306516, 6.683650
26.000000, 25.320167, 6.699878
26.000000, 25.332180, 6.713723
26.000000, 25.342751, 6.725473
26.000000, 25.344556, 6.724083
26.000000, 25.340225, 6.713463
26.000000, 25.336414, 6.703599
26.000000, 25.338979, 6.703316
26.000000, 25.346762, 6.710906
26.000000, 25.353610, 6.717139
26.000000, 25.360031, 6.722771
26.000000, 25.365682, 6.727283
26.000000, 25.370655, 6.730808
26.000000, 25.375030, 6.733466
26.000000, 25.380065, 6.737143
26.000000, 25.388442, 6.745886
26.000000, 25.401733, 6.762083
26.000000, 25.413429, 6.775961
26.000000, 25.423721, 6.787798
26.000000, 25.432779, 6.797839
26.000000, 25.437197, 6.800950
26.000000, 25.441086, 6.803290
26.000000, 25.452400, 6.816839
26.000000, 25.462357, 6.828414
26.000000, 25.471119, 6.838251
26.000000, 25.480408, 6.848937
26.000000, 25.487004, 6.855625
26.000000, 25.494387, 6.863539
26.000000, 25.500884, 6.870165
26.000000, 25.512520, 6.884573
26.000000, 25.523155, 6.897545
26.000000, 25.537644, 6.916388
26.000000, 25.553551, 6.937458
26.000000, 25.569128, 6.958131
26.000000, 25.584019, 6.977868
26.000000, 25.599491, 6.998573
26.000000, 25.613107, 7.016578
26.000000, 25.625089, 7.032208
26.000000, 25.635632, 7.045746
26.000000, 25.651225, 7.066955
26.000000, 25.664946, 7.085443
26.000000, 25.677811, 7.102726
26.000000, 25.691104, 7.120736
26.000000, 25.702803, 7.136426
26.000000, 25.713097, 7.150074
26.000000, 25.722156, 7.161927
26.000000, 25.730128, 7.172198
26.000000, 25.737144, 7.181078
26.000000, 25.749631, 7.198245
26.000000, 25.758253, 7.209666
26.000000, 25.768207, 7.223149
26.000000, 25.776967, 7.234895
26.000000, 25.794936, 7.260567
26.000000, 25.810749, 7.283103
26.000000, 25.824664, 7.302880
26.000000, 25.834147, 7.316068
26.000000, 25.842492, 7.327601
26.000000, 25.849836, 7.337678
26.000000, 25.854720, 7.344096
26.000000, 25.860596, 7.352039
26.000000, 25.868924, 7.363712
26.000000, 25.876253, 7.373932
26.000000, 25.881913, 7.381684
26.000000, 25.886894, 7.388448
26.000000, 25.891277, 7.394344
26.000000, 25.895134, 7.399474
26.000000, 25.901291, 7.408092
26.000000, 25.906709, 7.415636
26.000000, 25.911477, 7.422234
26.000000, 25.915672, 7.428001
26.000000, 25.907526, 7.415203
26.000000, 25.900357, 7.403826
26.000000, 25.893259, 7.392512
26.000000, 25.886223, 7.381248
26.000000, 25.879637, 7.370617
26.000000, 25.874237, 7.361730
26.000000, 25.863170, 7.344274
26.000000, 25.859745, 7.338261
26.000000, 25.850023, 7.322740
26.000000, 25.852516, 7.325558
26.000000, 25.843661, 7.311299
26.000000, 25.829950, 7.289668
26.000000, 25.817883, 7.270431
26.000000, 25.818314, 7.269942
26.000000, 25.811590, 7.258678
26.000000, 25.805673, 7.248588
26.000000, 25.807570, 7.250230
26.000000, 25.811606, 7.255107
26.000000, 25.809239, 7.250364
26.000000, 25.813075, 7.254950
26.000000, 25.816451, 7.258867
26.000000, 25.814686, 7.255061
26.000000, 25.813133, 7.251564
26.000000, 25.811767, 7.248338
26.000000, 25.810564, 7.245350
26.000000, 25.806743, 7.238411
26.000000, 25.803381, 7.232139
26.000000, 25.790557, 7.211593
26.000000, 25.779271, 7.193285
26.000000, 25.766972, 7.173381
26.000000, 25.749835, 7.146111
26.000000, 25.729230, 7.113511
26.000000, 25.711097, 7.084506
26.000000, 25.695140, 7.058666
26.000000, 25.683861, 7.039771
26.000000, 25.675513, 7.025221
26.000000, 25.668167, 7.012129
26.000000, 25.665255, 7.005667
26.000000, 25.659140, 6.994365
26.000000, 25.652970, 6.982940
26.000000, 25.640437, 6.961894
26.000000, 25.624277, 6.935306
26.000000, 25.604533, 6.903217
26.000000, 25.592682, 6.882896
26.000000, 25.572388, 6.849782
26.000000, 25.554529, 6.820209
26.000000, 25.548284, 6.808018
26.000000, 25.542788, 6.796918
26.000000, 25.537952, 6.786776
26.000000, 25.538432, 6.784611
26.000000, 25.538854, 6.782362
26.000000, 25.549486, 6.795494
26.000000, 25.558842, 6.806770
26.000000, 25.567075, 6.816414
26.000000, 25.562482, 6.806790
26.000000, 25.546601, 6.780135
26.000000, 25.531836, 6.755062
26.000000, 25.518843, 6.732565
26.000000, 25.507410, 6.712336
26.000000, 25.504057, 6.704207
26.000000, 25.503868, 6.700824
26.000000, 25.503703, 6.697473
26.000000, 25.508292, 6.701285
26.000000, 25.507596, 6.697163
26.000000, 25.506588, 6.692567
26.000000, 25.505702, 6.688148
26.000000, 25.504527, 6.683289
26.000000, 25.502704, 6.677446
26.000000, 25.501888, 6.673110
26.000000, 25.498803, 6.665350
26.000000, 25.494905, 6.656345
26.000000, 25.492658, 6.649804
26.000000, 25.490680, 6.643654
26.000000, 25.488940, 6.637850
26.000000, 25.491750, 6.638888
26.000000, 25.494222, 6.639435
26.000000, 25.496398, 6.639552
26.000000, 25.506205, 6.651176
26.000000, 25.506943, 6.649201
26.000000, 25.511538, 6.653042
26.000000, 25.515582, 6.656080
26.000000, 25.517563, 6.656035
26.000000, 25.518121, 6.653862
26.000000, 25.519797, 6.653374
26.000000, 25.521272, 6.652593
26.000000, 25.521385, 6.649773
26.000000, 25.523064, 6.649310
26.000000, 25.527698, 6.653309
26.000000, 25.531776, 6.656500
26.000000, 25.535365, 6.658979
26.000000, 25.546415, 6.672719
26.000000, 25.556140, 6.684532
26.000000, 25.564697, 6.694648
26.000000, 25.572228, 6.703270
26.000000, 25.578855, 6.710578
26.000000, 25.581924, 6.712569
26.000000, 25.584625, 6.714025
26.000000, 25.588186, 6.716792
26.000000, 25.590135, 6.717155
26.000000, 25.593035, 6.718960
26.000000, 25.596770, 6.722043
26.000000, 25.607161, 6.735174
26.000000, 25.624591, 6.758974
26.000000, 25.639930, 6.779732
26.000000, 25.645142, 6.785331
26.000000, 25.649728, 6.790020
26.000000, 25.654947, 6.795693
26.000000, 25.659540, 6.800455
26.000000, 25.665950, 6.807981
26.000000, 25.676326, 6.821522
26.000000, 25.686246, 6.834442
26.000000, 25.698527, 6.850979
26.000000, 25.705783, 6.860024
26.000000, 25.712168, 6.867803
26.000000, 25.726864, 6.888139
26.000000, 25.740190, 6.906505
26.000000, 25.751918, 6.922546
26.000000, 25.762238, 6.936540
26.000000, 25.771714, 6.949328
26.000000, 25.780053, 6.960462
26.000000, 25.787392, 6.970141
26.000000, 25.795823, 6.981511
26.000000, 25.808372, 6.999137
26.000000, 25.814285, 7.006846
26.000000, 25.819489, 7.013524
26.000000, 25.828409, 7.025832
26.000000, 25.837048, 7.037772
26.000000, 25.847018, 7.051771
26.000000, 25.855792, 7.064030
26.000000, 25.863513, 7.074758
26.000000, 25.870307, 7.084139
26.000000, 25.875497, 7.091145
26.000000, 25.879669, 7.096652
26.000000, 25.883735, 7.102024
26.000000, 25.887314, 7.106688
26.000000, 25.892830, 7.114293
26.000000, 25.897685, 7.120935
26.000000, 25.901957, 7.126731
26.000000, 25.904533, 7.129997
26.000000, 25.906799, 7.132815
26.000000, 25.908794, 7.135237
26.000000, 25.911733, 7.139093
26.000000, 25.921817, 7.153731
26.000000, 25.935821, 7.174336
26.000000, 25.948145, 7.192498
26.000000, 25.951492, 7.197215
26.000000, 25.957594, 7.206104
26.000000, 25.959808, 7.209172
26.000000, 25.949522, 7.193428
26.000000, 25.952704, 7.197905
26.000000, 25.957082, 7.204205
26.000000, 25.960935, 7.209740
26.000000, 25.964326, 7.214603
26.000000, 25.970467, 7.223630
26.000000, 25.975871, 7.231585
26.000000, 25.975496, 7.230870
26.000000, 25.973193, 7.227248
26.000000, 25.973140, 7.227000
26.000000, 25.971909, 7.224978
26.000000, 25.970826, 7.223171
26.000000, 25.969873, 7.221553
26.000000, 25.969034, 7.220102
26.000000, 25.967506, 7.217607
26.000000, 25.966162, 7.215380
26.000000, 25.957876, 7.202687
26.000000, 25.946244, 7.184903
26.000000, 25.940348, 7.175686
26.000000, 25.938711, 7.172848
26.000000, 25.933719, 7.164946
26.000000, 25.927748, 7.155537
26.000000, 25.922493, 7.147171
26.000000, 25.917869, 7.139721
26.000000, 25.911827, 7.130106
26.000000, 25.906509, 7.121546
26.000000, 25.904198, 7.117480
26.000000, 25.905715, 7.119167
26.000000, 25.904683, 7.117022
26.000000, 25.903774, 7.115058
26.000000, 25.901791, 7.111470
26.000000, 25.901229, 7.110010
26.000000, 25.897973, 7.104488
26.000000, 25.895107, 7.099534
26.000000, 25.892586, 7.095080
26.000000, 25.887604, 7.086905
26.000000, 25.881247, 7.076627
26.000000, 25.874469, 7.065676
26.000000, 25.866137, 7.052341
26.000000, 25.858804, 7.040459
26.000000, 25.852352, 7.029858
26.000000, 25.846674, 7.020382
26.000000, 25.841677, 7.011897
