ref, y_hat, u
25.000000, 24.602754, 7.719942
25.000000, 24.580496, 7.702264
25.000000, 24.560909, 7.686357
25.000000, 24.543673, 7.672010
25.000000, 24.517850, 7.651523
25.000000, 24.491179, 7.630310
25.000000, 24.467709, 7.611219
25.000000, 24.447055, 7.593997
25.000000, 24.428880, 7.578419
25.000000, 24.412886, 7.564287
25.000000, 24.393681, 7.547812
25.000000, 24.376781, 7.532866
25.000000, 24.361908, 7.519265
25.000000, 24.348821, 7.506847
25.000000, 24.323492, 7.485735
25.000000, 24.301202, 7.466638
25.000000, 24.281587, 7.449315
25.000000, 24.264326, 7.433554
25.000000, 24.249137, 7.419167
25.000000, 24.228272, 7.400703
25.000000, 24.209911, 7.383900
25.000000, 24.193753, 7.368559
25.000000, 24.179534, 7.354503
25.000000, 24.167022, 7.341579
25.000000, 24.156011, 7.329652
25.000000, 24.146321, 7.318601
25.000000, 24.137794, 7.308321
25.000000, 24.130291, 7.298720
25.000000, 24.123687, 7.289716
25.000000, 24.088280, 7.260372
25.000000, 24.057121, 7.233846
25.000000, 24.038778, 7.216200
25.000000, 24.022635, 7.200014
25.000000, 24.008430, 7.185112
25.000000, 23.995930, 7.171341
25.000000, 23.984929, 7.158566
25.000000, 23.974854, 7.146388
25.000000, 23.965988, 7.135011
25.000000, 23.938850, 7.110708
25.000000, 23.954430, 7.116387
25.000000, 23.957092, 7.113035
25.000000, 23.959433, 7.109472
25.000000, 23.961494, 7.105722
25.000000, 23.963308, 7.101808
25.000000, 23.964904, 7.097750
25.000000, 23.956443, 7.086609
25.000000, 23.959257, 7.083375
25.000000, 23.961734, 7.079918
25.000000, 23.963913, 7.076263
25.000000, 23.976881, 7.080225
25.000000, 23.988292, 7.083154
25.000000, 23.998334, 7.085175
25.000000, 24.002041, 7.082780
25.000000, 24.018325, 7.089271
25.000000, 24.032656, 7.094465
25.000000, 24.045267, 7.098519
25.000000, 24.054391, 7.100178
25.000000, 24.062420, 7.101111
25.000000, 24.069486, 7.101405
25.000000, 24.068206, 7.095850
25.000000, 24.074578, 7.095683
25.000000, 24.078212, 7.093617
25.000000, 24.081410, 7.091263
25.000000, 24.084224, 7.088654
25.000000, 24.086700, 7.085821
25.000000, 24.077435, 7.074723
25.000000, 24.069282, 7.064362
25.000000, 24.071578, 7.061327
25.000000, 24.073599, 7.058110
25.000000, 24.075377, 7.054731
25.000000, 24.086019, 7.057610
25.000000, 24.097356, 7.061033
25.000000, 24.107333, 7.063554
25.000000, 24.116113, 7.065280
25.000000, 24.123839, 7.066307
25.000000, 24.125113, 7.062825
25.000000, 24.126234, 7.059241
25.000000, 24.132351, 7.059185
25.000000, 24.137734, 7.058641
25.000000, 24.142471, 7.057669
25.000000, 24.147823, 7.057155
25.000000, 24.151349, 7.055380
25.000000, 24.160372, 7.057498
25.000000, 24.170679, 7.060567
25.000000, 24.179750, 7.062815
25.000000, 24.183391, 7.061280
25.000000, 24.186595, 7.059456
25.000000, 24.189415, 7.057377
25.000000, 24.191897, 7.055074
25.000000, 24.194080, 7.052573
25.000000, 24.199553, 7.052402
25.000000, 24.206343, 7.053186
25.000000, 24.212318, 7.053430
25.000000, 24.217576, 7.053199
25.000000, 24.222202, 7.052548
25.000000, 24.226274, 7.051530
25.000000, 24.225516, 7.047127
25.000000, 24.229980, 7.046401
25.000000, 24.233907, 7.045320
25.000000, 24.237364, 7.043926
25.000000, 24.247508, 7.047265
25.000000, 24.256436, 7.049797
25.000000, 24.266660, 7.053287
25.000000, 24.273684, 7.054572
25.000000, 24.279865, 7.055298
25.000000, 24.278201, 7.050524
25.000000, 24.283840, 7.050891
25.000000, 24.288802, 7.050808
25.000000, 24.292380, 7.049774
25.000000, 24.295528, 7.048456
25.000000, 24.299088, 7.047443
25.000000, 24.304983, 7.048094
25.000000, 24.310170, 7.048277
25.000000, 24.318681, 7.050828
25.000000, 24.326171, 7.052702
25.000000, 24.332762, 7.053979
25.000000, 24.338563, 7.054732
25.000000, 24.342877, 7.054467
25.000000, 24.346675, 7.053858
25.000000, 24.350016, 7.052948
25.000000, 24.349800, 7.049545
25.000000, 24.349609, 7.046160
25.000000, 24.349441, 7.042790
25.000000, 24.349294, 7.039433
25.000000, 24.349559, 7.036366
25.000000, 24.350976, 7.034113
25.000000, 24.356169, 7.034529
25.000000, 24.360739, 7.034531
25.000000, 24.364760, 7.034170
25.000000, 24.364353, 7.030707
25.000000, 24.360048, 7.024494
25.000000, 24.356260, 7.018623
25.000000, 24.363976, 7.020844
25.000000, 24.366820, 7.019669
25.000000, 24.373269, 7.021050
25.000000, 24.378944, 7.021917
25.000000, 24.383543, 7.022054
25.000000, 24.387590, 7.021825
25.000000, 24.393125, 7.022665
25.000000, 24.398390, 7.023343
25.000000, 24.403024, 7.023601
25.000000, 24.409864, 7.025439
25.000000, 24.417461, 7.027844
25.000000, 24.422568, 7.028532
25.000000, 24.427063, 7.028814
25.000000, 24.431018, 7.028737
25.000000, 24.427001, 7.023060
25.000000, 24.423465, 7.017703
25.000000, 24.421538, 7.013461
25.000000, 24.419842, 7.009373
25.000000, 24.421507, 7.007646
25.000000, 24.422972, 7.005786
25.000000, 24.426629, 7.005479
25.000000, 24.429847, 7.004881
25.000000, 24.432678, 7.004027
25.000000, 24.434776, 7.002669
25.000000, 24.436621, 7.001144
25.000000, 24.438246, 6.999472
25.000000, 24.440070, 6.997949
25.000000, 24.441280, 6.996003
25.000000, 24.449448, 6.998968
25.000000, 24.456637, 7.001283
25.000000, 24.462962, 7.003026
25.000000, 24.468529, 7.004265
25.000000, 24.473427, 7.005061
25.000000, 24.478133, 7.005746
25.000000, 24.482273, 7.006055
25.000000, 24.477630, 7.000193
25.000000, 24.473544, 6.994701
25.000000, 24.471921, 6.990925
25.000000, 24.470494, 6.987277
25.000000, 24.476735, 6.989030
25.000000, 24.482227, 6.990286
25.000000, 24.487060, 6.991104
25.000000, 24.491314, 6.991538
25.000000, 24.495451, 6.991912
25.000000, 24.498303, 6.991399
25.000000, 24.500812, 6.990660
25.000000, 24.503021, 6.989721
25.000000, 24.504964, 6.988606
