k, u, y, y_hat
0, 8.000000, 2.231919, 2.231919
1, 8.000000, 2.174369, 2.231919
2, 8.000000, 2.193114, 2.231919
3, 8.000000, 2.183577, 2.213592
4, 8.000000, 2.250006, 2.203921
5, 8.000000, 2.220409, 2.198817
6, 8.000000, 2.231261, 2.209014
7, 8.000000, 2.209885, 2.214396
8, 8.000000, 2.190812, 2.217235
9, 8.000000, 2.147732, 2.213764
10, 8.000000, 2.160886, 2.202924
11, 8.000000, 2.146417, 2.183071
12, 8.000000, 2.152994, 2.168866
13, 8.000000, 2.205281, 2.161370
14, 8.000000, 2.210543, 2.161142
15, 8.000000, 2.236851, 2.181988
16, 8.000000, 2.224026, 2.195474
17, 8.000000, 2.192456, 2.202591
18, 8.000000, 2.162530, 2.206346
19, 8.000000, 2.173383, 2.199786
20, 8.000000, 2.158584, 2.187317
21, 8.000000, 2.461787, 2.180736
22, 8.000000, 2.226657, 2.177263
23, 8.000000, 2.221724, 2.198261
24, 8.000000, 2.212845, 2.209342
25, 8.000000, 2.184564, 2.215190
26, 8.000000, 2.162202, 2.214082
27, 8.000000, 2.170094, 2.200141
28, 8.000000, 2.180946, 2.191076
29, 8.000000, 2.243428, 2.186292
30, 8.000000, 2.194429, 2.183767
31, 8.000000, 2.230932, 2.188803
32, 8.000000, 2.220738, 2.203885
33, 8.000000, 2.192127, 2.211844
34, 8.000000, 2.122082, 2.203619
35, 8.000000, 2.092814, 2.198192
36, 8.000000, 2.148719, 2.174827
37, 8.000000, 2.183906, 2.162497
38, 8.000000, 2.224355, 2.155990
39, 8.000000, 2.213832, 2.169174
40, 8.000000, 2.206597, 2.186848
41, 8.000000, 2.171081, 2.196175
42, 8.000000, 2.183906, 2.201097
43, 8.000000, 2.220080, 2.203694
44, 8.000000, 2.213832, 2.205065
45, 8.000000, 2.215805, 2.209205
46, 8.000000, 2.228301, 2.212322
47, 8.000000, 2.217778, 2.214899
48, 8.000000, 2.212845, 2.215327
49, 8.000000, 2.201006, 2.215552
50, 8.000000, 2.201006, 2.214274
51, 8.000000, 2.205939, 2.210338
52, 8.000000, 2.209228, 2.208260
53, 8.000000, 2.211859, 2.207164
54, 8.000000, 2.217449, 2.208139
55, 8.000000, 2.221724, 2.209895
56, 8.000000, 2.210214, 2.210823
57, 8.000000, 2.194758, 2.211312
58, 8.000000, 2.213503, 2.212347
59, 8.000000, 2.224026, 2.212893
60, 8.000000, 2.215805, 2.213181
61, 8.000000, 2.215805, 2.214420
62, 8.000000, 2.218764, 2.215074
63, 8.000000, 2.212845, 2.215419
64, 8.000000, 2.220738, 2.215601
65, 8.000000, 2.216462, 2.216008
66, 8.000000, 2.217120, 2.216533
67, 8.000000, 2.215147, 2.216500
68, 8.000000, 2.204295, 2.216482
69, 8.000000, 2.200020, 2.215852
70, 8.000000, 2.185879, 2.210394
71, 8.000000, 2.180946, 2.205494
72, 8.000000, 2.201664, 2.202909
73, 8.000000, 2.209885, 2.201544
74, 8.000000, 2.207583, 2.201601
75, 8.000000, 2.216462, 2.204426
76, 8.000000, 2.214818, 2.207005
77, 8.000000, 2.220409, 2.210695
78, 8.000000, 2.208899, 2.212642
79, 8.000000, 2.220080, 2.214446
80, 8.000000, 2.225670, 2.217107
81, 8.000000, 2.214489, 2.218511
82, 8.000000, 2.202979, 2.216612
83, 8.000000, 2.202651, 2.215609
84, 8.000000, 2.185221, 2.209645
85, 8.000000, 2.199362, 2.206341
86, 8.000000, 2.219093, 2.204598
87, 8.000000, 2.217449, 2.203679
88, 8.000000, 2.197718, 2.201640
89, 8.000000, 2.197389, 2.200564
90, 8.000000, 2.195416, 2.199220
91, 8.000000, 2.197389, 2.198355
92, 8.000000, 2.208570, 2.197899
93, 8.000000, 2.210543, 2.197658
94, 8.000000, 2.217778, 2.202812
95, 8.000000, 2.212516, 2.206463
96, 8.000000, 2.201993, 2.208390
97, 8.000000, 2.201993, 2.209407
98, 8.000000, 2.201006, 2.205905
99, 8.000000, 2.176671, 2.204058
100, 8.000000, 2.186208, 2.202617
101, 8.000000, 2.207912, 2.201856
102, 8.000000, 2.211201, 2.201455
103, 8.000000, 2.226986, 2.204505
104, 8.000000, 2.231261, 2.207667
105, 8.000000, 2.224026, 2.215393
106, 8.000000, 2.204953, 2.219470
107, 8.000000, 2.181275, 2.221622
108, 8.000000, 2.188181, 2.213749
109, 8.000000, 2.218107, 2.209595
110, 8.000000, 2.224026, 2.207402
111, 8.000000, 2.224026, 2.212458
112, 8.000000, 2.225670, 2.217921
113, 8.000000, 2.230603, 2.220804
114, 8.000000, 2.210543, 2.222326
115, 8.000000, 2.223368, 2.223129
116, 8.000000, 2.189168, 2.223242
117, 8.000000, 2.174369, 2.217245
118, 8.000000, 2.151349, 2.203985
119, 8.000000, 2.218436, 2.196987
120, 8.000000, 2.191141, 2.193294
121, 8.000000, 2.211201, 2.192277
122, 8.000000, 2.217778, 2.201214
123, 8.000000, 2.192127, 2.205931
124, 8.000000, 2.171410, 2.199412
125, 8.000000, 2.147403, 2.195971
126, 8.000000, 2.163517, 2.184371
127, 8.000000, 2.143128, 2.174522
128, 8.000000, 2.135565, 2.161715
129, 8.000000, 2.187195, 2.154956
130, 8.000000, 2.220409, 2.158999
131, 8.000000, 2.207583, 2.172315
132, 8.000000, 2.247046, 2.188971
133, 8.000000, 2.222382, 2.203819
134, 8.000000, 2.200020, 2.211654
135, 8.000000, 2.148061, 2.209731
136, 8.000000, 2.141813, 2.205145
137, 8.000000, 6.091021, 2.202724
138, 8.000000, 2.161873, 2.183431
139, 8.000000, 2.197718, 2.173250
140, 8.000000, 2.214160, 2.184805
141, 8.000000, 2.201993, 2.192923
142, 8.000000, 2.211201, 2.197206
143, 8.000000, 2.209228, 2.202884
