k, u, y
0, 8.000000, 3.054381
1, 8.000000, 3.049120
2, 8.000000, 3.047147
3, 8.000000, 3.047147
4, 8.000000, 3.043858
5, 8.000000, 3.040569
6, 8.000000, 3.033664
7, 8.000000, 3.033664
8, 8.000000, 3.031362
9, 8.000000, 3.029388
10, 8.000000, 3.024784
11, 8.000000, 3.018536
12, 8.000000, 3.020838
13, 8.000000, 3.016563
14, 8.000000, 3.013603
15, 8.000000, 3.009328
16, 8.000000, 3.006040
17, 8.000000, 3.004067
18, 8.000000, 3.002094
19, 8.000000, 2.996174
20, 8.000000, 2.995845
21, 8.000000, 2.995188
22, 8.000000, 2.988282
23, 8.000000, 2.983349
24, 8.000000, 2.984993
25, 8.000000, 2.985980
26, 8.000000, 2.978087
27, 8.000000, 2.976443
28, 8.000000, 2.976443
29, 8.000000, 2.971181
30, 8.000000, 2.969866
31, 8.000000, 2.966577
32, 8.000000, 2.964604
33, 8.000000, 2.962960
34, 8.000000, 2.957698
35, 8.000000, 2.957698
36, 8.000000, 2.953094
37, 8.000000, 2.952766
38, 8.000000, 2.946188
39, 8.000000, 2.946188
40, 8.000000, 2.943229
41, 8.000000, 2.941585
42, 8.000000, 2.941256
43, 8.000000, 2.936323
44, 8.000000, 2.936323
45, 8.000000, 2.931390
46, 8.000000, 2.931061
47, 8.000000, 2.923498
48, 8.000000, 2.925471
49, 8.000000, 2.918236
50, 8.000000, 2.920867
51, 8.000000, 2.915934
52, 8.000000, 2.917578
53, 8.000000, 2.912317
54, 8.000000, 2.911988
55, 8.000000, 2.909028
56, 8.000000, 2.903438
57, 8.000000, 2.903766
58, 8.000000, 2.905082
59, 8.000000, 2.899820
60, 8.000000, 2.896203
61, 8.000000, 2.892256
62, 8.000000, 2.892585
63, 8.000000, 2.893243
64, 8.000000, 2.890283
65, 8.000000, 2.884035
66, 8.000000, 2.885351
67, 8.000000, 2.881404
68, 8.000000, 2.880089
69, 8.000000, 2.875814
70, 8.000000, 2.875485
71, 8.000000, 2.873183
72, 8.000000, 2.873841
73, 8.000000, 2.870552
74, 8.000000, 2.868250
75, 8.000000, 2.865948
76, 8.000000, 2.859700
77, 8.000000, 2.859700
78, 8.000000, 2.853452
79, 8.000000, 2.856083
80, 8.000000, 2.853123
81, 8.000000, 2.853781
82, 8.000000, 2.847204
