k,y_pred
1620,2.283877
1621,2.283877
1622,2.283877
1623,2.283877
1624,2.283877
1625,2.283877
1626,2.283877
1627,2.283877
1628,2.283877
1629,2.283877
1630,2.283877
1631,2.283877
1632,2.283877
1633,2.283877
1634,2.283877
1635,2.283877
1636,2.283877
1637,2.283877
1638,2.283877
1639,2.283877
1640,2.283877
1641,2.283877
1642,2.283877
1643,2.283877
1644,2.283877
1645,2.283877
1646,2.283877
1647,2.283877
1648,2.283877
1649,2.283877
1650,2.283877
1651,2.283877
1652,2.283877
1653,2.283877
1654,2.283877
1655,2.283877
1656,2.283877
1657,2.283877
1658,2.283877
1659,2.283877
1660,2.283877
1661,2.283877
1662,2.283877
1663,2.283877
1664,2.283877
1665,2.283877
1666,2.283877
1667,2.283877
1668,2.283877
1669,2.283877
1670,2.283877
1671,2.283877
1672,2.283877
1673,2.283877
1674,2.283877
1675,2.283877
1676,2.283877
1677,2.283877
1678,2.283877
1679,2.283877
1680,2.283877
1681,2.283877
1682,2.283877
1683,2.283877
1684,2.283877
1685,2.283877
1686,2.283877
1687,2.283877
1688,2.283877
1689,2.283877
1690,2.283877
1691,2.283877
1692,2.283877
1693,2.283877
1694,2.283877
1695,2.283877
1696,2.283877
1697,2.283877
1698,2.283877
1699,2.283877
1700,2.283877
1701,2.283877
1702,2.283877
1703,2.283877
1704,2.283877
1705,2.283877
1706,2.283877
1707,2.283877
1708,2.283877
1709,2.283877
1710,2.283877
1711,2.283877
1712,2.283877
1713,2.283877
1714,2.283877
1715,2.283877
1716,2.283877
1717,2.283877
1718,2.283877
1719,2.283877
1720,2.283877
1721,2.283877
1722,2.283877
1723,2.283877
1724,2.283877
1725,2.283877
1726,2.283877
1727,2.283877
1728,2.283877
1729,2.283877
1730,2.283877
1731,2.283877
1732,2.283877
1733,2.283877
1734,2.283877
1735,2.283877
1736,2.283877
1737,2.283877
1738,2.283877
1739,2.283877
1740,2.283877
1741,2.283877
1742,2.283877
1743,2.283877
1744,2.283877
1745,2.283877
1746,2.283877
1747,2.283877
1748,2.283877
1749,2.283877
1750,2.283877
1751,2.283877
1752,2.283877
1753,2.283877
1754,2.283877
1755,2.283877
1756,2.283877
1757,2.283877
1758,2.283877
1759,2.283877
1760,2.283877
1761,2.283877
1762,2.283877
1763,2.283877
1764,2.283877
1765,2.283877
1766,2.283877
1767,2.283877
1768,2.283877
1769,2.283877
1770,2.283877
1771,2.283877
1772,2.283877
1773,2.283877
1774,2.283877
1775,2.283877
1776,2.283877
1777,2.283877
1778,2.283877
1779,2.283877
1780,2.283877
1781,2.283877
1782,2.283877
1783,2.283877
1784,2.283877
1785,2.283877
1786,2.283877
1787,2.283877
1788,2.283877
1789,2.283877
1790,2.283877
1791,2.283877
1792,2.283877
1793,2.283877
1794,2.283877
1795,2.283877
1796,2.283877
1797,2.283877
1798,2.283877
1799,2.283877
1800,2.283877
1801,2.283877
1802,2.2861997676124495
1803,2.288516050058679
1804,2.29082586544527
1805,2.293129231828251
1806,2.295426167213236
1807,2.2977166895555703
1808,2.3000008167604653
1809,2.3022785666831425
1810,2.304549957128971
1811,2.3068150058536077
1812,2.3090737305631355
1813,2.311326148914202
1814,2.3135722785141577
1815,2.315812136921193
1816,2.3180457416444757
1817,2.3202731101442886
1818,2.322494259832165
1819,2.3247092080710248
1820,2.3269179721753117
1821,2.3291205694111263
1822,2.3313170169963633
1823,2.3335073321008446
1824,2.3356915318464537
1825,2.3378696333072706
1826,2.3400416535097035
1827,2.342207609432623
1828,2.3443675180074957
1829,2.346521396118514
1830,2.3486692606027315
1831,2.350811128250191
1832,2.352947015804059
1833,2.3550769399607536
1834,2.3572009173700774
1835,2.3593189646353467
1836,2.3614310983135214
1837,2.363537334915334
1838,2.36563769090542
1839,2.367732182702444
1840,2.369820826679231
1841,2.371903639162893
1842,2.373980636434956
1843,2.3760518347314883
1844,2.3781172502432275
1845,2.3801768991157064
1846,2.3822307974493793
1847,2.3842789612997484
1848,2.3863214066774883
1849,2.3883581495485724
1850,2.390389205834397
1851,2.3924145914119057
1852,2.3944343221137143
1853,2.396448413728233
1854,2.398456881999791
1855,2.40045974262876
1856,2.402457011271675
1857,2.40444870354136
1858,2.406434835007046
1859,2.4084154211944955
1860,2.410390477586123
1861,2.4123600196211163
1862,2.414324062695557
1863,2.4162826221625404
1864,2.4182357133322965
1865,2.420183351472309
1866,2.4221255518074343
1867,2.424062329520022
1868,2.4259936997500318
1869,2.4279196775951526
1870,2.429840278110921
1871,2.431755516310838
1872,2.4336654071664876
1873,2.4355699656076526
1874,2.437469206522432
1875,2.439363144757358
1876,2.4412517951175094
1877,2.4431351723666315
1878,2.445013291227247
1879,2.4468861663807755
1880,2.4487538124676447
1881,2.4506162440874064
1882,2.4524734757988504
1883,2.454325522120119
1884,2.4561723975288197
1885,2.4580141164621376
1886,2.4598506933169504
1887,2.4616821424499387
1888,2.4635084781776997
1889,2.465329714776859
1890,2.4671458664841817
1891,2.4689569474966833
1892,2.470762971971742
1893,2.472563954027208
1894,2.474359907741515
1895,2.4761508471537894
1896,2.4779367862639603
1897,2.479717739032869
1898,2.481493719382379
1899,2.4832647411954825
1900,2.485030818316411
1901,2.4867919645507435
1902,2.4885481936655127
1903,2.490299519389315
1904,2.492045955412416
1905,2.4937875153868574
1906,2.495524212926566
1907,2.4972560616074566
1908,2.498983074967542
1909,2.500705266507035
1910,2.5024226496884574
1911,2.5041352379367425
1912,2.505843044639342
1913,2.507546083146329
1914,2.509244366770504
1915,2.510937908787498
1916,2.512626722435876
1917,2.514310820917242
1918,2.515990217396339
1919,2.5176649250011565
1920,2.519334956823029
1921,2.521000325916741
1922,2.5226610453006275
1923,2.5243171279566763
1924,2.5259685868306296
1925,2.527615434832085
1926,2.529257684834597
1927,2.530895349675776
1928,2.5325284421573913
1929,2.5341569750454687
1930,2.5357809610703916
1931,2.537400412927
1932,2.53901534327469
1933,2.5406257647375123
1934,2.542231689904272
1935,2.543833131328626
1936,2.5454301015291807
1937,2.547022612989591
1938,2.5486106781586586
1939,2.550194309450426
1940,2.5517735192442776
1941,2.5533483198850333
1942,2.5549187236830466
1943,2.556484742914301
1944,2.558046389820505
1945,2.5596036766091883
1946,2.5611566154537972
1947,2.56270521849379
1948,2.564249497834731
1949,2.5657894655483866
1950,2.567325133672818
1951,2.568856514212477
1952,2.570383619138298
1953,2.5719064603877935
1954,2.573425049865146
1955,2.5749393994413015
1956,2.5764495209540623
1957,2.5779554262081796
1958,2.5794571269754463
1959,2.580954634994787
1960,2.5824479619723535
1961,2.5839371195816114
1962,2.5854221194634364
1963,2.586902973226201
1964,2.5883796924458684
1965,2.589852288666081
1966,2.5913207733982513
1967,2.5927851581216528
1968,2.594245454283508
1969,2.595701673299079
1970,2.597153826551757
1971,2.5986019253931496
1972,2.6000459811431718
1973,2.601486005090133
1974,2.6029220084908262
1975,2.6043540025706142
1976,2.6057819985235198
1977,2.6072060075123114
1978,2.6086260406685913
1979,2.610042109092882
1980,2.6114542238547136
1981,2.6128623959927104
1982,2.6142666365146763
1983,2.6156669563976815
1984,2.6170633665881486
1985,2.6184558780019374
1986,2.619844501524431
1987,2.62122924801062
1988,2.6226101282851886
1989,2.6239871531425973
1990,2.62536033334717
1991,2.6267296796331756
1992,2.628095202704913
1993,2.629456913236795
1994,2.630814821873431
1995,2.632168939229712
1996,2.63351927589089
1997,2.6348658424126645
1998,2.6362086493212633
1999,2.637547707113525
2000,2.638883026256981
2001,2.6402146171899363
2002,2.6415424903215543
2003,2.642866656031934
2004,2.644187124672194
2005,2.645503906564553
2006,2.6468170120024093
2007,2.6481264512504223
2008,2.649432234544593
2009,2.6507343720923426
2010,2.6520328740725936
2011,2.653327750635849
2012,2.654619011904272
2013,2.655906667971764
2014,2.657190728904044
2015,2.658471204738729
2016,2.6597481054854093
2017,2.661021441125729
2018,2.662291221613464
2019,2.6635574568745994
2020,2.6648201568074055
2021,2.6660793312825177
2022,2.667334990143013
2023,2.668587143204485
2024,2.669835800255124
2025,2.6710809710557903
2026,2.6723226653400927
2027,2.6735608928144634
2028,2.674795663158234
2029,2.6760269860237123
2030,2.6772548710362556
2031,2.6784793277943484
2032,2.6797003658696754
2033,2.680917994807198
2034,2.682132224125227
2035,2.683343063315499
2036,2.684550521843249
2037,2.6857546091472853
2038,2.6869553346400634
2039,2.6881527077077587
2040,2.689346737710341
2041,2.690537433981646
2042,2.691724805829451
2043,2.6929088625355444
2044,2.6940896133558008
2045,2.695267067520252
2046,2.6964412342331596
2047,2.697612122673087
2048,2.6987797419929715
2049,2.6999441013201944
2050,2.701105209756654
2051,2.7022630763788356
2052,2.7034177102378836
2053,2.704569120359672
2054,2.705717315744873
2055,2.7068623053690297
2056,2.7080040981826263
2057,2.7091427031111563
2058,2.710278129055194
2059,2.7114103848904616
2060,2.7125394794679027
2061,2.7136654216137472
2062,2.714788220129583
2063,2.7159078837924238
2064,2.7170244213547776
